Name,Rating,Rounds,KD Diff,K/D
ZywOo,1.27,28946,+6730,1.38
s1mple,1.25,43366,+9383,1.34
sh1ro,1.23,24687,+5896,1.45
deko,1.21,13190,+2840,1.37
Kaze,1.19,23727,+4398,1.31
saffee,1.18,11705,+2058,1.29
degster,1.18,20438,+3670,1.30
smooya,1.18,24290,+4039,1.27
XANTARES,1.17,49585,+6703,1.20
sterling,1.17,23109,+4099,1.30
SENSEi,1.16,15992,+3095,1.35
device,1.16,47380,+7321,1.25
DANK1NG,1.16,11266,+1741,1.24
blameF,1.16,25869,+4099,1.26
NiKo,1.15,44992,+5764,1.19
torzsi,1.15,14278,+2082,1.24
KSCERATO,1.15,25212,+4020,1.28
Woro2k,1.15,11591,+1657,1.23
BnTeT,1.15,27889,+3818,1.22
JamYoung,1.14,10260,+1417,1.22
coldzera,1.14,38594,+5625,1.24
Benkai,1.14,15560,+2046,1.20
Sico,1.14,24222,+3766,1.26
XigN,1.13,20232,+2466,1.19
Texta,1.13,15749,+1748,1.16
XELLOW,1.13,30958,+3669,1.18
Jame,1.13,32976,+5523,1.31
mhL,1.13,15712,+2062,1.21
oskar,1.13,40109,+5067,1.20
forsyy,1.13,12453,+1740,1.23
El1an,1.13,35728,+4878,1.22
sk0R,1.13,11092,+1226,1.16
frozen,1.12,33450,+3846,1.18
mantuu,1.12,18646,+2374,1.21
Freeman,1.12,20299,+2309,1.18
kennyS,1.12,50670,+6424,1.20
huNter-,1.12,40413,+4319,1.16
liTTle,1.12,12159,+1550,1.20
yuurih,1.12,27681,+3258,1.19
woxic,1.12,33092,+4139,1.20
INS,1.12,25486,+2786,1.17
kNgV-,1.12,22707,+2537,1.17
ropz,1.12,32084,+4012,1.20
Jamppi,1.12,13449,+1408,1.16
dgt,1.12,12810,+1694,1.22
wrath,1.12,13568,+1239,1.13
chelleos,1.11,15529,+1477,1.14
PTC,1.11,12393,+1408,1.18
nawwk,1.11,26524,+3436,1.21
h4rn,1.11,18067,+2332,1.22
vsm,1.11,16702,+1650,1.15
splashske,1.11,18651,+1811,1.15
zorte,1.11,23385,+2963,1.21
Twistzz,1.11,38332,+4195,1.18
erkaSt,1.11,23944,+2450,1.15
Vexite,1.11,10291,+876,1.12
GuardiaN,1.11,41693,+4763,1.18
xsepower,1.11,35869,+4797,1.23
ottoNd,1.11,23390,+2700,1.18
CacaNito,1.11,10465,+833,1.12
dream3r,1.11,35262,+4238,1.20
FREDDyFROG,1.11,32176,+3606,1.18
dumau,1.10,13859,+1586,1.18
TenZ,1.10,10399,+839,1.12
f0rest,1.10,54645,+5673,1.16
Olivia,1.10,16189,+1565,1.15
poizon,1.10,29354,+2862,1.15
mertz,1.10,25333,+2594,1.16
mir,1.10,28082,+2792,1.15
WARDELL,1.10,15901,+1648,1.17
oSee,1.10,30820,+3466,1.18
HEN1,1.10,31773,+4057,1.22
CeRq,1.10,32056,+3437,1.17
Brehze,1.10,31744,+2749,1.13
swag,1.10,14447,+1629,1.18
Infinite,1.10,22979,+2045,1.14
ekul,1.10,11703,+986,1.12
Ax1Le,1.10,26605,+2694,1.16
allu,1.10,44582,+4607,1.16
nython,1.10,14118,+1437,1.16
hades,1.10,19321,+2175,1.18
moose,1.10,19559,+1975,1.16
PwnAlone,1.10,25118,+2468,1.16
xccurate,1.09,18113,+1724,1.15
mixwell,1.09,21804,+1911,1.13
Sonic,1.09,24799,+2362,1.15
aliStair,1.09,28369,+2921,1.17
syrsoN,1.09,47716,+4811,1.16
GeT_RiGhT,1.09,45054,+4291,1.15
JUGi,1.09,24427,+2676,1.18
Cooper,1.09,21581,+2114,1.15
Calyx,1.09,30128,+2939,1.15
biguzera,1.09,18138,+1718,1.15
ritchiEE,1.09,11667,+972,1.12
ryx,1.09,12856,+1181,1.14
electroNic,1.09,36618,+3068,1.13
zehN,1.09,31410,+2619,1.13
ScreaM,1.09,37087,+3105,1.13
JOTA,1.09,14246,+1356,1.15
NEOFRAG,1.09,20234,+1406,1.10
NAF,1.09,43504,+4234,1.15
BL1TZ,1.09,19035,+1601,1.13
nex,1.09,28389,+2435,1.13
draken,1.08,33538,+3298,1.16
nukkye,1.08,15492,+1330,1.13
gas,1.08,13501,+792,1.08
dennyslaw,1.08,35541,+3254,1.14
pz,1.08,12833,+1144,1.14
exit,1.08,22225,+2386,1.18
ZOREE,1.08,46405,+4435,1.15
EliGE,1.08,44456,+3089,1.10
fer,1.08,38442,+2823,1.11
Savage,1.08,21434,+1926,1.14
DJOXiC,1.08,12531,+1204,1.15
lollipop21k,1.08,34041,+2450,1.11
valde,1.08,34198,+2856,1.13
Detrony,1.08,10449,+862,1.13
Spinx,1.08,13741,+1117,1.13
hazr,1.08,21105,+1310,1.09
Machinegun,1.08,10994,+676,1.09
faveN,1.08,37280,+3100,1.13
mezii,1.08,15935,+1365,1.14
Attacker,1.08,33057,+2666,1.12
k0nfig,1.08,42542,+2492,1.08
keev,1.08,15524,+1217,1.12
floppy,1.08,23314,+1730,1.11
sergej,1.08,20425,+1816,1.14
cynic,1.08,21510,+1816,1.13
ShahZaM,1.08,25252,+2058,1.13
junior,1.08,13273,+1386,1.17
